Track,Artist
THE LONELIEST,Måneskin
Waqt Ki Baatein,Dream Note
Faasle,Aditya Rikhari
Umbrella,Ember Island
Tujhe Bhula Diya,"Vishal-Shekhar, Mohit Chauhan, Shekhar Ravjiani, Shruti Pathak"
Kun Faya Kun,"A.R. Rahman, Javed Ali, Mohit Chauhan"
Masakali,Mohit Chauhan
Tell Me Why I'm Waiting - Slowed,"boy in skirt, Niisan"
Tum Hi Ho,"Mithoon, Arijit Singh"
"Kaise Hua (From ""Kabir Singh"")","Vishal Mishra, Manoj Muntashir"
Two Golden Songs,Nishant Kamal Vyas
"Gazab Ka Hai Din (From ""Dil Juunglee"")","Jubin Nautiyal, Prakriti Kakar"
Tujhse Naraz Nahi Zindagi,Rahul Jain
this is what sadness feels like,JVKE
this is what heartbreak feels like,JVKE
Hope,XXXTENTACION
Tum Ho,"Mohit Chauhan, Suzanne D'Mello"
Nadaan Parinde,"A.R. Rahman, Mohit Chauhan"
Main Rahoon Ya Na Rahoon,"Amaal Mallik, Armaan Malik, Rashmi Virag"
Bol Do Na Zara,Armaan Malik
thank you - slowed + reverb,omgkirby
,
Tere Bina Zindagi Se,Pranav Chandran
Tarasti Hain Nigaahain (Galat Fehmi),Rishabh
Sunn Raha Hai (Male Version),Ankit Tiwari
Sanam Re - Lofi,EXE ROHIT
SAD!,XXXTENTACION
Sach Keh Raha Hai,Rahul Jain
Saazish,"Rekha Bhardwaj, Bhuvan Bam"
RIP,"Croosh, Shiloh Dynasty"
Pyar Tha Waqt Nahi,Arshman Naeem
Nobody Cares,Kina
Mujhe Peene Do,Darshan Raval
Milne Hai Mujhse Aayi,Arijit Singh
Mere Samne Wali,Karan Nawani
Mere Rang Mein Rangne Wali,Rahul Jain
,
Maybe My Soulmate Died,iamnotshane
Make You Mine - Radio Edit,PUBLIC
Main Shayar To Nahin,Kunal Bojewar
Maine Royaan,Tanveer Evan
Lucid Dreams,Juice WRLD
Laaree Chootee,"WORMONO, Tejas R.H"
,
Kya hua Tera Wada,Pranav Chandran
Kali Kali Zulfon Ke (Lo-Fi),Madhur Sharma
Jo Tu Na Mila - Acoustic,Asim Azhar
wonder if she loves me,JVKE
Jocelyn Flores,XXXTENTACION
Ik Lamha (Lo-Fi Mix),Azaan Sami Khan
I Don't Trust Nobody,iZthoN
idfc,blackbear
Humein Tumse Pyar Kitna,Rahul Jain
Ghalat Fehmi,JalRaj
Get You The Moon X Agar Tum Saath Ho,Pranish VP
Gali Mein Chand Nikla,Rahul Jain
Mere Hi Liye,Aditya Rikhari
Shinunoga E-Wa,Fujii Kaze
the remedy for a broken heart (why am I so in love),XXXTENTACION
Another Love,Tom Odell
As the World Caves In,Sarah Cothran
Happier Than Ever,Billie Eilish
"Dil (From ""Ek Villain Returns"")","Kaushik-Guddu, Raghav Chaitanya, Kunaal Vermaa"
Versace On The Floor,Joseph Vincent
Abhi Abhi,KK
In The Stars,Benson Boone
Tomake Chai,"Arijit Singh, Arindom"
Parbona-Lofi,"Arindom, Arijit Singh, Prashmita Paul"
Oboseshe Lo-Fi,Arijit Singh
Ami Je Ke Tomar - Lofi,"Kishore Kumar, Saurabh Gaikwad"
Jao Pakhi - Lofi,"Shreya Ghoshal, Pranab Biswas, R3lic AT2"
Ek Ladki Ko Dekha,Pranav Chandra
Ek Pyar Ka Nagma Hai,Rahul Jain
Mockingbird,fenekot
just to break my heart,Sky McCreery
Be Intehaan,"Atif Aslam, Sunidhi Chauhan, Pritam"
"Lokkhiti, Pt. 1","Paloma Majumder, Anupam Roy"
all the kids are depressed,Jeremy Zucker
CRY,Parker Jack
Dead and Cold,SadBoyProlific
Love Is a Drug,Papithbk
WORTH NOTHING - Fast & Furious: Drift Tape/Phonk Vol 1,"TWISTED, Oliver Tree"
Counting Stars,OneRepublic
This Side of Paradise,Coyote Theory
Snowman,Sia
Chal Wahan Jaate Hain - Lofi,EXE ROHIT
Saware,"Pritam, Arijit Singh"
"Jab Tak (From ""M.S.Dhoni - The Untold Story"")",Armaan Malik
Heathens,Twenty One Pilots
Fairytale,Alexander Rybak
Past Lives,"Martin Arteta, creamy"
Self Talk,Parker Jack
,
Jodi Boli,"Pratik Kundu, Sudeshna Das"
Baarishein,Anuv Jain
"Musafir (From ""Sweetiee Weds Nri"")","Palash Muchhal, Atif Aslam, Palak Muchhal"
Atlantis,Seafret
Until I Found You (with Em Beihold) - Em Beihold Version,"Stephen Sanchez, Em Beihold"
Those Eyes,New West
Until I Found You - Piano Version,Stephen Sanchez
Here With Me,d4vd
好きだから。,『ユイカ』
Main Woh Chaand,Darshan Raval
moon and back,JVKE
It's You,Ali Gatie
Eenie Meenie,fenekot
Kahani Suno 2.0,Kaifi Khalil
"Tu Har Lamha (From ""Khamoshiyan"")","Bobby-Imran, Arijit Singh"
Teenage Dream,Stephen Dawes
THE LONELIEST,Måneskin
Calm Down,Rema
Flowers,Miley Cyrus
"Salamat (From ""Sarbjit"") (feat. Arijit Singh, Tulsi Kumar)","Amaal Mallik, Arijit Singh, Tulsi Kumar"
Hamari Adhuri Kahani (Title Track),"Jeet Gannguli, Arijit Singh"
Alive,DEMCHUK
THE LONELIEST,Måneskin
HOPE,NF
I Can't Love,Kochetkovv
Tu Rehti Hai,Aditya Rikhari
Teri Yaad,Aditya Rikhari
Labon Ko (Reprise),JalRaj
Khuwahish,Asim Azhar
Peace Of Mind,"Lost Stories, KASYAP, Yashraj"
IKHTILAF,Azlan Abid
O Re Piya,"Salim–Sulaiman, Rahat Fateh Ali Khan, Jaideep Sahni"
Gul,Anuv Jain
Humsafar,"Akhil Sachdeva, Mansheel Gujral"
Dildaara (Stand By Me),Shafqat Amanat Ali
Pehli Dafa,"Atif Aslam, Shiraz Uppal"
Tose Naina,Arijit Singh
Another Love,Tom Odell
You Are The Reason,Calum Scott
Heal,Tom Odell
snowflake (feat. Jaden & Sarcastic Sounds),"Powfu, Jaden, Sarcastic Sounds"
If You Want Love,NF
Falling for You,BoyWithUke
Baarish,"Mohammed Irfan, Gajendra Verma"
Pyaar Ke Pal,KK
All Time Low,"Kurt Hugo Schneider, Sam Tsui, Casey Breves"
Say You Won't Let Go,James Arthur
i'm yours,Isabel LaRosa
Aap Ki Nazron Ne Samjha,Sanam
Humnava Mere,"Jubin Nautiyal, Rocky - Shiv"
keep you off my mind,som:ber
Kahaani,Dream Note
Bhalo Achi Bhalo Theko (Sad),Durnibar Saha
Jane Woh Kaise Log The,"Hemant Kumar, S. D. Burman"
Suraj Hua Maddham,"Sandesh Shandilya, Sonu Nigam, Alka Yagnik"
Kabhii Tumhhe,"Javed-Mohsin, Darshan Raval"
Mere Naam Tu,Abhay Jodhpurkar
Main Agar Kahoon,"Vishal-Shekhar, Sonu Nigam, Shreya Ghoshal"
Tune Jo Na Kaha,"Sohan Rahman, MC Khan"
Choo Lo,The Local Train
Your Eyes,"Barney Sku, Taqiya Zaman"
Dancing With Your Ghost,Sasha Alex Sloan
2 people,Rowan Drake
I Can't Hate You,"Kayou., yaeow"
Saiyyan,"Kailash Kher, Paresh Kamath, Naresh Kamath"
Last Goodbye,Lindsey Jade
Alag Aasmaan,Anuv Jain
N i g h t C h a n g e s,DancingRoom
fck i wish,Levent Geiger
Emptiness,"Zodiac Wave, IB"
i think i wanna text u,vaultboy
I don't see nobody but you,Yusei
Hakuna Matata,Bdr!ppyy
Tinka,Aditya Rikhari
Tum Mile - Lofi Flip,"KSW, Neeraj Shridhar, Pritam"
Loote Loote,"Denny, Sanah Moidutty, Shloke Lal"
Baarish Aayi Hai,"Rito Riba, Rajat Nagpal, Rana Sotal"
Chale Jaana Phir (Humko Tere Bina),"Denny, Rahul Mishra, Kunaal Vermaa"
Kyun,Sanjana Devarajan
Ik Tara Tera,Mukund Krishna
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Varun Jain, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya"
"Dil Ke Paas (Unplugged) [From ""Wajah Tum Ho""]","Armaan Malik, Tulsi Kumar"
"Dil Mein Chhupa Loonga (From ""Wajah Tum Ho"")","Meet Bros., Armaan Malik, Tulsi Kumar"
O Re Piya,"Salim–Sulaiman, Rahat Fateh Ali Khan, Jaideep Sahni"
telepatía,Kali Uchis
Namastute,Seedhe Maut
Daisuki,Bemax
Ganja Ganja,"Street Music Studios, Harjas Harjaayi, Sshiv"
death bed (coffee for your head),"Powfu, beabadoobee"
Shendur Laal Chadhayo (Aarti),Ravindra Sathe
Kaash Aisa Hota,Darshan Raval
Befikar,"Tanzeel Khan, Aashna Hegde"
Jaane De Mujhe,"Sanam, Kunaal Vermaa"
Thank You (Sped Up),fenekot
Ghost,Confetti
Dancin (feat. Luvli) - Krono Remix,"Aaron Smith, Krono, Luvli"
